timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2023-12-27T15:23:20,codecarbon,,56.64623641967773,2.844989913057192e-05,5.022381172827399e-07,14.0,0.0,5.868003845214844,0.0002202859357992,0,9.23297063624659e-05,0.0003126156421617,Austria,AUT,,,,Windows-10-10.0.22621-SP0,3.11.5,2.2.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,,,15.64801025390625,machine,N
2023-12-27T15:25:07,codecarbon,,103.46924781799316,5.19395888744901e-05,5.019809264087245e-07,14.0,0.0,5.868003845214844,0.0004022496845987,0,0.0001684773979506,0.0005707270825493,Austria,AUT,,,,Windows-10-10.0.22621-SP0,3.11.5,2.2.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,,,15.64801025390625,machine,N
2023-12-27T15:26:34,codecarbon,,84.00574541091919,4.21913519837633e-05,5.022436474717502e-07,14.0,0.0,5.868003845214844,0.0003266848895284,0,0.0001369257733263,0.0004636106628547,Austria,AUT,,,,Windows-10-10.0.22621-SP0,3.11.5,2.2.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,,,15.64801025390625,machine,N
2023-12-27T15:27:50,codecarbon,,72.70384812355042,3.651514300825985e-05,5.022449835971168e-07,14.0,0.0,5.868003845214844,0.0002827371871471,0,0.0001185016653269,0.0004012388524741,Austria,AUT,,,,Windows-10-10.0.22621-SP0,3.11.5,2.2.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,,,15.64801025390625,machine,N
2023-12-27T15:29:25,codecarbon,,92.0729444026947,4.623815127785714e-05,5.021904271425025e-07,14.0,0.0,5.868003845214844,0.0003580198180675,0,0.0001500582347845,0.000508078052852,Austria,AUT,,,,Windows-10-10.0.22621-SP0,3.11.5,2.2.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,,,15.64801025390625,machine,N
2023-12-27T15:39:34,codecarbon,,604.3500037193298,0.0003035261814898,5.022357567996744e-07,14.0,0.0,5.868003845214844,0.0023501818794674,0,0.0009850507589285,0.0033352326383959,Austria,AUT,,,,Windows-10-10.0.22621-SP0,3.11.5,2.2.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,,,15.64801025390625,machine,N
2023-12-28T14:33:55,codecarbon,,1145.9105966091156,0.0005755200496731,5.02238177547374e-07,14.0,0.0,5.868003845214844,0.0044562140630351,0,0.0018677651215591,0.0063239791845942,Austria,AUT,,,,Windows-10-10.0.22621-SP0,3.11.5,2.2.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,,,15.64801025390625,machine,N
2023-12-28T15:23:37,codecarbon,,696.0772926807404,0.0003495929941304,5.02233010337259e-07,14.0,0.0,5.868003845214844,0.0027068700081772,0,0.0011345579650383,0.0038414279732155,Austria,AUT,,,,Windows-10-10.0.22621-SP0,3.11.5,2.2.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,,,15.64801025390625,machine,N
2023-12-28T15:45:04,codecarbon,,1251.8138799667358,0.0006287144147472,5.022427253833606e-07,14.0,0.0,5.868003845214844,0.0048680844386418,0,0.0020404096688588,0.0069084941075007,Austria,AUT,,,,Windows-10-10.0.22621-SP0,3.11.5,2.2.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,,,15.64801025390625,machine,N
2023-12-28T15:58:35,codecarbon,,759.3515191078186,0.0003813793146478,5.022434341026866e-07,14.0,0.0,5.868003845214844,0.0029529909886254,0,0.0012377141807898,0.0041907051694152,Austria,AUT,,,,Windows-10-10.0.22621-SP0,3.11.5,2.2.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,,,15.64801025390625,machine,N
